sample_id,mq2_raw
0,3628
1,3628
2,3628
3,3628
4,895
5,908
6,908
7,908
8,908
9,908
10,908
11,908
12,895
13,895
14,895
15,895
16,895
17,895
18,895
19,895
20,895
21,895
22,895
23,895
24,908
25,921
26,935
27,935
28,948
29,962
30,976
31,990
32,1005
33,1005
34,1019
35,1034
36,1034
37,1034
38,1034
39,1034
40,1034
41,1034
42,1034
43,1034
44,1034
45,1034
46,1034
47,1034
48,1034
49,1034
50,1034
51,1034
52,1034
53,1034
54,1034
55,1034
56,1034
57,1034
58,1034
59,1034
60,1034
61,1034
62,1034
63,1034
64,1034
65,1034
66,1034
67,1034
68,1034
69,1034
70,1034
71,1034
72,1034
73,1034
74,1034
75,1034
76,1048
77,1063
78,1063
79,1063
80,1063
81,1063
82,1063
83,1063
84,1063
85,1063
86,1063
87,1063
88,1063
89,1063
90,1063
91,1063
92,1063
93,1063
94,1063
95,1063
96,1063
97,1063
98,1063
99,1063
100,1063
101,1063
102,1063
103,1063
104,1063
105,1063
106,1063
107,1063
108,1063
109,1063
110,1063
111,1063
112,1063
113,1063
114,1063
115,1063
116,1063
117,1034
118,1034
119,1034
120,1048
121,1048
122,1063
123,1078
124,1093
125,1108
126,1124
127,1139
128,1139
129,1139
130,1139
131,1124
132,1108
133,1108
134,1108
135,1108
136,1124
137,1139
138,1155
139,1170
140,1186
141,1202
142,1218
143,1234
144,1234
145,1234
146,1234
147,1251
148,1267
149,1267
150,1267
151,1267
152,1267
153,1284
154,1284
155,1284
156,1301
157,1317
158,1317
159,1317
160,1334
161,1334
162,1334
163,1351
164,1334
165,1334
166,1301
167,1267
168,1267
169,1284
170,1284
171,1267
172,1267
173,1267
174,1267
175,1267
176,1251
177,1251
178,1251
179,1251
180,1251
181,1267
182,1284
183,1317
184,1334
185,1334
186,1334
187,1317
188,1284
189,1284
190,1267
191,1267
192,1251
193,1234
194,1234
195,1218
196,1202
197,1202
198,1186
199,1186
200,1186
201,1170
202,1186
203,1218
204,1251
205,1284
206,1317
207,1334
208,1368
209,1403
210,1438
211,1474
212,1509
213,1527
214,1527
215,1545
216,1564
217,1582
218,1619
219,1600
220,1582
221,1545
222,1564
223,1619
224,1656
225,1675
226,1712
227,1750
228,1769
229,1788
230,1750
231,1712
232,1693
233,1656
234,1637
235,1637
236,1619
237,1600
238,1582
239,1564
240,1545
241,1527
242,1527
243,1509
244,1491
245,1438
246,1421
247,1403
248,1386
249,1368
250,1351
251,1317
252,1284
253,1284
254,1251
255,1218
256,1170
257,1139
258,1093
259,1063
260,1063
261,1108
262,1139
263,1186
264,1218
265,1251
266,1301
267,1317
268,1284
269,1267
270,1218
271,1202
272,1170
273,1124
274,1093
275,1048
276,1078
277,1108
278,1155
279,1186
280,1202
281,1218
282,1186
283,1155
284,1139
285,1108
286,1093
287,1078
288,1063
289,1078
290,1124
291,1139
292,1170
293,1202
294,1234
295,1267
296,1284
297,1334
298,1351
299,1317
300,1284
301,1317
302,1351
303,1386
304,1421
305,1456
306,1474
307,1509
308,1527
309,1527
310,1527
311,1564
312,1564
313,1564
314,1582
315,1600
316,1600
317,1600
318,1600
319,1619
320,1637
321,1922
322,2192
323,2476
324,2726
325,2971
326,3173
327,3348
328,3360
329,3393
330,3426
331,3426
332,3426
333,3426
334,3426
335,3426
336,3415
337,3393
338,3213
339,3017
340,3017
341,3032
342,3118
343,3313
344,3467
345,3603
346,3707
347,3790
348,3806
349,3806
350,3726
351,3627
352,3497
353,3348
354,3160
355,2956
356,2893
357,2893
358,3090
359,3289
360,3447
361,3578
362,3686
363,3774
364,3768
365,3751
366,3658
367,3534
368,3393
369,3226
370,3017
371,2986
372,3061
373,3264
374,3426
375,3570
376,3679
377,3774
378,3844
379,3839
380,3795
381,3713
382,3603
383,3477
384,3313
385,3132
386,2909
387,2811
388,2860
389,3090
390,3289
391,3447
392,3578
393,3693
394,3779
395,3801
396,3801
397,3720
398,3611
399,3487
400,3325
401,3146
402,2924
403,2692
404,2657
405,2657
406,2674
407,2876
408,3090
409,3289
410,3447
411,3587
412,3693
413,3785
414,3857
415,3881
416,3881
417,3877
418,3835
419,3762
420,3665
421,3552
422,3404
423,3226
424,3032
425,2794
426,2777
427,2777
428,2794
429,2924
430,3118
431,3313
432,3477
433,3603
434,3713
435,3795
436,3861
437,3861
438,3857
439,3801
440,3713
441,3603
442,3477
443,3313
444,3313
445,3313
446,3313
447,3313
448,3313
449,3313
450,3313
451,3313
452,3313
453,3313
454,3313
455,3313
456,3313
457,3313
458,3313
459,3313
460,3313
461,3313
462,3313
463,3313
464,3313
465,3313
466,3313
467,3325
468,3404
469,3543
470,3665
471,3762
472,3779
473,3774
474,3768
475,3672
476,3603
477,3578
478,3561
479,3543
480,3525
481,3497
482,3477
483,3457
484,3426
485,3393
486,3371
487,3348
488,3325
489,3301
490,3289
491,3252
492,3226
493,3200
494,3173
495,3146
496,3104
497,3132
498,3146
499,3187
500,3226
501,3252
502,3289
503,3313
504,3337
505,3360
506,3393
507,3415
508,3447
509,3477
510,3497
511,3516
512,3543
513,3570
514,3587
515,3595
516,3619
517,3643
518,3658
519,3672
520,3693
521,3707
522,3720
523,3707
524,3693
525,3672
526,3658
527,3643
528,3619
529,3603
530,3587
531,3561
532,3543
533,3516
534,3497
535,3467
536,3447
537,3415
538,3382
539,3360
540,3325
541,3301
542,3277
543,3264
544,3252
545,3289
546,3313
547,3348
548,3371
549,3393
550,3426
551,3447
552,3477
553,3497
554,3506
555,3516
556,3525
557,3525
558,3543
559,3561
560,3578
561,3603
562,3619
563,3627
564,3650
565,3658
566,3650
567,3627
568,3611
569,3595
570,3570
571,3552
572,3534
573,3506
574,3487
575,3457
576,3436
577,3404
578,3382
579,3360
580,3337
581,3313
582,3289
583,3264
584,3289
585,3313
586,3348
587,3371
588,3393
589,3415
590,3447
591,3467
592,3497
593,3497
594,3467
595,3457
596,3337
597,3146
598,3160
599,3264
600,3426
601,3487
602,3487
603,3487
604,3487
605,3984
606,4038
607,4041
608,4041
609,4041
610,4041
611,4041
612,4041
613,4041
614,4041
615,4041
616,4040
617,4040
618,4040
619,4038
620,4038
621,4036
622,4035
623,4032
624,4029
625,4027
626,4026
627,4022
628,4019
629,4015
630,4011
631,4006
632,4002
633,3997
634,3992
635,3986
636,3982
637,3982
638,3982
639,3980
640,3973
641,3973
642,3975
643,3977
644,3980
645,3982
646,3982
647,3984
648,3986
649,3988
650,3990
651,3992
652,3993
653,3995
654,3999
655,4001
656,4002
657,4004
658,4006
659,4007
660,4009
661,4012
662,4014
663,4014
664,4012
665,4012
666,4009
667,4007
668,4006
669,4004
670,4002
671,4001
672,3999
673,3997
674,3995
675,3993
676,3992
677,3988
678,3986
679,3984
680,3982
681,3982
682,3986
683,3988
684,3992
685,3993
686,3995
687,3999
688,4001
689,4002
690,4004
691,4007
692,4011
693,4014
694,4015
695,4018
696,4019
697,4022
698,4024
699,4025
700,4026
701,4029
702,4031
703,4032
704,4035
705,4036
706,4035
707,4033
708,4030
709,4027
710,4026
711,4024
712,4021
713,4019
714,4017
715,4015
716,4012
717,4011
718,4007
719,4006
720,4002
721,3999
722,3997
723,3995
724,3993
725,3993
726,3993
727,3993
728,3997
729,3999
730,4002
731,4004
732,4006
733,4009
734,4011
735,4012
736,4014
737,4015
738,4018
739,4019
740,4021
741,4024
742,4025
743,4027
744,4030
745,4030
746,4032
747,4033
748,4035
749,4036
750,4038
751,4039
752,4040
753,4041
754,4041
755,4041
756,4041
757,4040
758,4039
759,4037
760,4036
761,4033
762,4032
763,4030
764,4029
765,4027
766,4026
767,4024
768,4022
769,4019
770,4018
771,4017
772,4015
773,4012
774,4011
775,4009
776,4007
777,4006
778,4004
779,4002
780,4001
781,3999
782,3997
783,3995
784,3993
785,3992
786,3992
787,3990
788,3990
789,3990
790,3990
791,3990
792,3990
793,3990
794,3988
795,3986
796,3988
797,3988
798,3990
799,3992
800,3995
801,3997
802,4001
803,4002
804,4004
805,4004
806,4006
807,4007
808,4009
809,4011
810,4014
811,4015
812,4017
813,4018
814,4021
815,4021
816,4024
817,4025
818,4026
819,4029
820,4030
821,4032
822,4033
823,4036
824,4037
825,4039
826,4040
827,4041
828,4040
829,4039
830,4037
831,4036
832,4036
833,4037
834,4039
835,4039
836,4038
837,4036
838,4033
839,4031
840,4030
841,4032
842,4032
843,4035
844,4036
845,4037
846,4039
847,4040
848,4041
849,4040
850,4038
851,4037
852,4035
853,4032
854,4031
855,4030
856,4029
857,4026
858,4024
859,4025
860,4022
861,4019
862,4018
863,4017
864,4015
865,4015
866,4015
867,4017
868,4019
869,4022
870,4021
871,4018
872,4018
873,4021
874,4024
875,4025
876,4026
877,4024
878,4022
879,4021
880,4022
881,4024
882,4026
883,4027
884,4029
885,4031
886,4032
887,4035
888,4036
889,4035
890,4032
891,4030
892,4029
893,4026
894,4029
895,4030
896,4038
897,4041
898,4041
899,4041
900,4041
901,4041
902,4041
903,4041
904,4041
905,4041
906,4041